gene,TSS,end,start,UTR_length,utr_counts,sample
ahpC,1277386,1277890,1277386,504,1032,utRho01
ahpF,1278004,1279506,1278004,1502,67440,utRho01
ahr,8992698,8992698,8992418,280,0,utRho01
aidB,8828494,8828550,8828494,56,0,utRho01
ais,4731512,4731512,4731240,272,0,utRho01
alaA,4814816,4815122,4814816,306,0,utRho01
alaC,4996798,4996798,4996590,208,26,utRho01
alaE,5598140,5598328,5598140,188,152,utRho01
alaS,5644180,5644180,5644022,158,2446,utRho01
alaW,5036612,5036612,5036462,150,4,utRho01
aldA,2976380,2976464,2976380,84,60,utRho01
aldB,7513070,7513070,7513022,48,14,utRho01
alkA,4295118,4295118,4295080,38,10,utRho01
alkB,4618890,4618890,4618682,208,0,utRho01
allA,1064780,1064902,1064780,122,0,utRho01
allD,1092822,1092822,1092726,96,0,utRho01
allE,1088112,1088112,1088092,20,28,utRho01
allS,1064600,1064600,1064442,158,0,utRho01
alr,8531178,8531564,8531178,386,3874,utRho01
alsE,8617334,8617334,8616956,378,24,utRho01
alsK,8615990,8615990,8615598,392,128,utRho01
alx,6476740,6477160,6476740,420,40,utRho01
amiA,5104482,5104704,5104482,222,44,utRho01
amiC,5898378,5898378,5898020,358,18,utRho01
amn,4110062,4110122,4110062,60,14,utRho01
ampC,8758006,8758006,8757888,118,0,utRho01
ampD,237362,237466,237362,104,166,utRho01
ampG,907372,907372,907090,282,612,utRho01
ampH,792726,792726,792574,152,20,utRho01
amyA,4012230,4012312,4012230,82,32,utRho01
anmK,3439346,3439346,3439204,142,0,utRho01
ansB,6201580,6201580,6201456,124,110,utRho01
ansP,3052040,3052040,3051960,80,224,utRho01
apaG,104068,104068,103212,856,6758,utRho01
apaH,102586,102586,102444,142,6058,utRho01
apbE,4623188,4623188,4623068,120,106,utRho01
appA,2081198,2081234,2081198,36,0,utRho01
appC,2075420,2075480,2075420,60,0,utRho01
appY,1167134,1167362,1167134,228,0,utRho01
apt,982620,982824,982620,204,324,utRho01
aqpZ,1832424,1832424,1832094,330,0,utRho01
araB,140150,140150,140096,54,0,utRho01
araC,140482,140774,140482,292,4,utRho01
araE,5964416,5964416,5964364,52,0,utRho01
araF,3972476,3972476,3972256,220,0,utRho01
araH,3967120,3967120,3967086,34,0,utRho01
araJ,825058,825058,824962,96,46,utRho01
arcA,9281602,9281602,9280612,990,8770,utRho01
arcB,6706098,6706098,6706050,48,0,utRho01
arcZ,6701154,6701154,6701154,0,0,utRho01
arfA,6877346,6877346,6877298,48,508,utRho01
argA,5898312,5898484,5898312,172,10,utRho01
argC,8309770,8310002,8309770,232,68,utRho01
argD,6980442,6980442,6980360,82,0,utRho01
argE,8310156,8310156,8309694,462,152,utRho01
argF,580680,580680,580610,70,0,utRho01
argG,6637124,6637274,6637124,150,112,utRho01
argI,8956688,8956688,8956622,66,0,utRho01
argO,6137672,6137672,6137616,56,200,utRho01
argP,6119460,6119506,6119460,46,0,utRho01
argR,6769204,6769406,6769204,202,80,utRho01
argS,3920002,3920124,3920002,122,36,utRho01
argT,4855698,4855698,4855582,116,140,utRho01
argU,1129406,1129446,1129406,40,2,utRho01
argW,4932616,4932618,4932616,2,0,utRho01
argX,7964728,7964750,7964728,22,88,utRho01
aroF,5482402,5482402,5482300,102,56,utRho01
aroG,1571182,1571266,1571182,84,68,utRho01
aroH,3576636,3576870,3576636,234,384,utRho01
aroK,7038760,7038760,7038128,632,3152,utRho01
aroL,812560,812810,812560,250,146,utRho01
aroP,243342,243342,243102,240,0,utRho01
arpA,8445382,8445382,8444974,408,294,utRho01
arrS,7316108,7316108,7316108,0,0,utRho01
arsR,7297024,7297056,7297024,32,28,utRho01
artJ,1801252,1801252,1801150,102,0,utRho01
artP,1807686,1807686,1807468,218,108,utRho01
ascF,5678858,5679048,5678858,190,0,utRho01
ascG,5678574,5678574,5678528,46,0,utRho01
aslB,7965562,7965916,7965562,354,39482,utRho01
asnA,7854258,7854310,7854258,52,62,utRho01
asnB,1398444,1398444,1398354,90,886,utRho01
asnC,23562186,23562186,23562018,168,0,utRho01
asnS,1978088,1978088,1977970,118,11450,utRho01
asnT,4089082,4089098,4089082,16,86,utRho01
asnU,4119690,4119702,4119690,12,4,utRho01
asnV,4124504,4124520,4124504,16,12,utRho01
aspA,17473728,17473728,17473308,420,148,utRho01
aspC,1971486,1971486,1971418,68,416,utRho01
aspS,3901402,3901402,3901044,358,138,utRho01
aspT,7893560,7893744,7893560,184,120618,utRho01
aspV,473826,473862,473826,36,32,utRho01
asr,3342654,3342752,3342654,98,104,utRho01
astC,3664088,3664088,3663964,124,0,utRho01
astE,3654138,3654138,3653846,292,0,utRho01
atoD,4646824,4646894,4646824,70,18,utRho01
atpB,7844540,7844540,7844102,438,1124,utRho01
atpC,7832118,7832118,7831944,174,1434,utRho01
atpI,7845050,7845050,7844880,170,80,utRho01
avtA,7479348,7479410,7479348,62,224,utRho01
azoR,2965982,2965982,2965720,262,186,utRho01
azuC,3976002,3976002,3975918,84,70,utRho01
bacA,6408350,6408350,6408262,88,0,utRho01
bamA,394052,395856,394052,1804,1260,utRho01
bamB,5277950,5277950,5277304,646,2280,utRho01
bamC,5198028,5198028,5197730,298,760,utRho01
bamD,5471922,5472292,5471922,370,7700,utRho01
bamE,5506972,5507210,5506972,238,502,utRho01
basS,8666954,8666954,8666544,410,516,utRho01
bax,7474468,7474468,7474354,114,136,utRho01
bcp,5200874,5200956,5200874,82,1486,utRho01
bcsB,7385346,7385346,7385214,132,0,utRho01
bcsE,7392644,7392916,7392644,272,0,utRho01
bdcA,8948128,8948128,8948106,22,30,utRho01
bdcR,8948192,8948248,8948192,56,10,utRho01
bdm,3112680,3112680,3112560,120,0,utRho01
betA,654522,654522,654494,28,270,utRho01
betI,658722,658722,658668,54,18,utRho01
betT,658842,658926,658842,84,24,utRho01
bfr,6933498,6933498,6933450,48,8,utRho01
bglG,23440182,23440182,23439402,780,0,utRho01
bglX,4444240,4444240,4443978,262,0,utRho01
bhsA,2337962,2338146,2337962,184,52,utRho01
bioA,1618584,1618584,1618514,70,10,utRho01
bioB,1618604,1618688,1618604,84,20,utRho01
bioH,7089716,7089716,7089688,28,8,utRho01
bisC,7433026,7433026,7432788,238,18,utRho01
blc,8755490,8755490,8755444,46,20,utRho01
blr,3409024,3409102,3409024,78,102,utRho01
bluF,2431226,2431226,2430950,276,2436,utRho01
bluR,2428226,2428226,2428118,108,30,utRho01
bolA,908698,908944,908698,246,0,utRho01
borD,1157842,1157842,1157786,56,0,utRho01
brnQ,838976,839182,838976,206,2786,utRho01
bssR,1756492,1756496,1756492,4,0,utRho01
bssS,2242116,2242116,2241910,206,480,utRho01
btuB,8326798,8327278,8326798,480,3288,utRho01
cadB,8720212,8720212,8720062,150,0,utRho01
cadC,8723926,8723926,8723868,58,0,utRho01
caiE,70998,70998,70742,256,0,utRho01
caiF,68436,68600,68436,164,10,utRho01
caiT,84074,84074,83862,212,60,utRho01
can,285406,285406,285340,66,26,utRho01
carA,59102,59302,59102,200,8,utRho01
carB,61550,61634,61550,84,40,utRho01
cas2,5757830,5757830,5757706,124,12,utRho01
casA,5768638,5768638,5768276,362,0,utRho01
cbl,4121882,4121882,4121828,54,10,utRho01
cbpA,2128074,2128074,2127550,524,540,utRho01
cbrA,7738628,7738754,7738628,126,0,utRho01
cbrB,7794958,7795012,7794958,54,36,utRho01
ccmH,4585242,4585242,4584820,422,32,utRho01
cdaR,364894,364926,364894,32,42,utRho01
cdd,4463638,4463688,4463638,50,94,utRho01
cdh,8219814,8219860,8219814,46,152,utRho01
cdsA,391110,391354,391110,244,1932,utRho01
cedA,3627484,3627484,3627326,158,286,utRho01
cfa,3482402,3482826,3482402,424,714,utRho01
chaC,2544844,2544972,2544844,128,68,utRho01
chbB,3643452,3643452,3643238,214,0,utRho01
chbG,3634624,3634624,3634270,354,0,utRho01
cheW,3946924,3946924,3946678,246,470,utRho01
chiA,6939792,6939792,6939706,86,0,utRho01
chiP,1416472,1416668,1416472,196,0,utRho01
cho,3646984,3647030,3646984,46,106,utRho01
chpS,8896804,8896894,8896804,90,32,utRho01
cirA,4493884,4493884,4493538,346,710,utRho01
citC,1304078,1304078,1303712,366,10,utRho01
citT,1293264,1293264,1293160,104,0,utRho01
clcA,350104,350214,350104,110,0,utRho01
clpA,1846160,1846528,1846160,368,78,utRho01
clpB,5468410,5468410,5468346,64,54,utRho01
clpP,913154,913354,913154,200,816,utRho01
clpS,1845500,1845826,1845500,326,84,utRho01
clpX,914404,914852,914404,448,1784,utRho01
clsA,2617346,2617346,2617290,56,36,utRho01
clsC,2212584,2212710,2212584,126,398,utRho01
cmk,1922330,1922402,1922330,72,42,utRho01
cnu,3409522,3409898,3409522,376,678,utRho01
coaA,8350214,8350214,8350052,162,708,utRho01
cobC,1340092,1340092,1339814,278,862,utRho01
cobT,4129202,4129202,4128934,268,48,utRho01
cobU,4131944,4131944,4131528,416,652,utRho01
codB,709768,709844,709768,76,18,utRho01
comR,2337726,2337726,2337664,62,0,utRho01
copA,1022822,1022822,1022758,64,0,utRho01
corA,8002388,8002852,8002388,464,5526,utRho01
cpdB,8873258,8873258,8873130,128,88,utRho01
cptB,6082198,6082198,6082140,58,108,utRho01
cpxA,8210202,8210202,8209950,252,786,utRho01
cpxP,8211570,8211640,8211570,70,130,utRho01
cpxR,8211372,8211372,8211340,32,98,utRho01
cra,175894,176056,175894,162,0,utRho01
crcB,1316016,1316016,1315876,140,58,utRho01
creA,9270486,9271042,9270486,556,508,utRho01
creD,9276320,9276356,9276320,36,46,utRho01
crl,515620,515658,515620,38,1820,utRho01
crp,6971906,6972240,6971906,334,4586,utRho01
crr,5070960,5071668,5070960,708,7610,utRho01
csdA,5886414,5886674,5886414,260,160,utRho01
csgB,2207718,2207902,2207718,184,0,utRho01
csgD,2206688,2206688,2206392,296,8,utRho01
csgG,2203510,2203510,2203368,142,8,utRho01
csiD,5577854,5577970,5577854,116,6,utRho01
csiE,5330802,5330870,5330802,68,36,utRho01
csiR,5590942,5591348,5590942,406,4,utRho01
cspA,7439778,7440098,7439778,320,432866,utRho01
cspB,3283430,3283430,3283108,322,576,utRho01
cspC,3815018,3815018,3814870,148,508,utRho01
cspD,1845352,1845352,1845180,172,430,utRho01
cspE,1314294,1314584,1314294,290,60,utRho01
cspF,3283380,3283710,3283380,330,72,utRho01
cspG,2102610,2102922,2102610,312,289044,utRho01
cspH,2102746,2102746,2102350,396,704,utRho01
cspI,3277624,3277624,3277334,290,316,utRho01
csrA,5638746,5638746,5638292,454,1456,utRho01
csrB,5849048,5849048,5849048,0,0,utRho01
csrC,8102072,8102072,8102072,0,0,utRho01
csrD,6806850,6806850,6806664,186,108,utRho01
cstA,1259710,1259788,1259710,78,0,utRho01
cueO,274090,274166,274090,76,0,utRho01
cueR,1027948,1027986,1027948,38,30,utRho01
curA,3037784,3038054,3037784,270,74,utRho01
cusC,1191146,1191200,1191146,54,0,utRho01
cusR,1190924,1190924,1190886,38,70,utRho01
cutA,8730784,8730784,8730712,72,186,utRho01
cutC,3918534,3918534,3917920,614,186,utRho01
cvpA,4861600,4861600,4861526,74,74,utRho01
cvrA,2484328,2484328,2484142,186,78,utRho01
cyaA,7981548,7982306,7981548,758,1810,utRho01
cyaR,4334228,4334224,4334228,4,0,utRho01
cyaY,7988166,7988166,7988118,48,144,utRho01
cybB,2981522,2981804,2981522,282,250,utRho01
cycA,8859560,8859728,8859560,168,578,utRho01
cydA,1542340,1542916,1542340,576,114,utRho01
cydC,1858800,1858800,1858390,410,266,utRho01
cydD,1862062,1862062,1861924,138,150,utRho01
cydX,1548300,1548392,1548300,92,426,utRho01
cynR,717418,717418,717380,38,0,utRho01
cynT,1435092,1435196,1435092,104,0,utRho01
cyoA,903306,903306,903220,86,2508,utRho01
cyoE,895540,895540,895410,130,588,utRho01
cysB,2667576,2667710,2667576,134,454,utRho01
cysC,5748056,5748056,5747984,72,32,utRho01
cysD,5752736,5752736,5752658,78,16,utRho01
cysE,7565362,7565362,7565124,238,586,utRho01
cysG,6995508,6995656,6995508,148,78,utRho01
cysJ,5783928,5783928,5783796,132,1446,utRho01
cysK,5064688,5064818,5064688,130,10,utRho01
cysP,5087114,5087114,5087056,58,168,utRho01
cysS,1109154,1109222,1109154,68,74,utRho01
cysT,3984100,3984100,3983974,126,248,utRho01
cysZ,5062766,5062926,5062766,160,264,utRho01
cytR,8249018,8249018,8248912,106,164,utRho01
dacA,1328002,1328002,1327926,76,62,utRho01
dacB,6657714,6657926,6657714,212,54,utRho01
dacC,1761306,1761454,1761306,148,28,utRho01
dadA,2475018,2475142,2475018,124,0,utRho01
dam,7032504,7032504,7031826,678,1956,utRho01
damX,7035200,7035200,7034612,588,698,utRho01
dapA,5199568,5199568,5199520,48,2,utRho01
dapB,56576,56748,56576,172,44,utRho01
dapD,371954,371954,371894,60,110,utRho01
dapE,5183120,5183214,5183120,94,246,utRho01
dcp,3254844,3254844,3254760,84,110,utRho01
dcrB,7219534,7219910,7219534,376,100,utRho01
dctA,7366996,7366996,7366894,102,590,utRho01
dcuA,8733686,8733686,8733546,140,34,utRho01
dcuB,8698182,8698182,8697488,694,62,utRho01
dcuC,1312166,1312166,1311936,230,24,utRho01
dcuD,6749166,6749738,6749166,572,0,utRho01
dcuR,8701130,8701130,8700068,1062,544,utRho01
dcuS,8703370,8703370,8703324,46,68,utRho01
dcyD,3999016,3999016,3998960,56,0,utRho01
ddpX,3126498,3126498,3126152,346,0,utRho01
deaD,6615818,6615818,6615720,98,6370,utRho01
dedA,4869880,4869880,4869482,398,13274,utRho01
dedD,4863750,4863750,4863368,382,242,utRho01
def,6867300,6867380,6867300,80,156,utRho01
degP,361690,361768,361690,78,44,utRho01
degQ,6761308,6761486,6761308,178,4562,utRho01
deoB,9239134,9239206,9239134,72,4,utRho01
deoC,9233358,9234646,9233358,1288,258,utRho01
dfp,7625406,7625462,7625406,56,34,utRho01
dgcZ,3247758,3247758,3247700,58,0,utRho01
dgkA,8512914,8513274,8512914,360,426,utRho01
dgt,358392,358474,358392,82,0,utRho01
dhaK,2501888,2501888,2501676,212,144,utRho01
dhaR,2502006,2502132,2502006,126,106,utRho01
dicB,3299194,3299218,3299194,24,0,utRho01
dicC,3295752,3295752,3295700,52,0,utRho01
dinB,501760,501796,501760,36,0,utRho01
dinD,7635398,7635520,7635398,122,534,utRho01
dinG,1666146,1666140,1666146,6,14,utRho01
dinI,2243018,2243018,2242974,44,22,utRho01
dinJ,493230,493230,493004,226,62,utRho01
dinQ,7295964,7295964,7295576,388,1046,utRho01
djlA,114536,114728,114536,192,60,utRho01
dkgA,6313142,6313246,6313142,104,4,utRho01
dkgB,458196,458334,458196,138,616,utRho01
dksA,321502,321502,321208,294,134,utRho01
dld,4444164,4444370,4444164,206,36,utRho01
dmlA,3763424,3763824,3763424,400,14,utRho01
dmlR,3763710,3763710,3763618,92,12,utRho01
dmsA,1881646,1881918,1881646,272,192,utRho01
dnaA,7767922,7767922,7767458,464,6092,utRho01
dnaB,8528566,8528628,8528566,62,234,utRho01
dnaK,24096,24326,24096,230,410,utRho01
dnaN,7765466,7765466,7764642,824,1096,utRho01
dnaQ,471868,472134,471868,266,1130,utRho01
dnaT,18406460,18406460,18406068,392,580,utRho01
dnaX,984112,984184,984112,72,592,utRho01
dosP,3131486,3131486,3131466,20,0,utRho01
dpiB,1303968,1304470,1303968,502,20,utRho01
dppA,7415740,7415740,7415410,330,1364,utRho01
dps,1697900,1697900,1697822,78,18,utRho01
dsbA,8086754,8086836,8086754,82,2954,utRho01
dsbB,2466294,2466294,2466060,234,36,utRho01
dsbC,6079266,6079266,6077644,1622,1306,utRho01
dsbG,1277600,1277600,1277146,454,416,utRho01
dsdA,4958242,4958404,4958242,162,2,utRho01
dsdC,4955492,4955492,4955258,234,0,utRho01
dsdX,4955642,4955694,4955642,52,0,utRho01
dsrA,4050626,4050626,4050626,0,0,utRho01
dsrB,4049686,4049686,4049646,40,136,utRho01
dtpD,1485340,1485340,1485112,228,36,utRho01
dusA,8523200,8523338,8523200,138,4592,utRho01
dusB,6820492,6820560,6820492,68,134,utRho01
dusC,4460790,4460790,4460770,20,0,utRho01
dut,7627704,7627864,7627704,160,1520,utRho01
dxr,386670,387042,386670,372,1018,utRho01
ebgA,6445102,6445266,6445102,164,20,utRho01
ebgR,6442874,6442932,6442874,58,116,utRho01
ecnB,8753018,8753106,8753018,88,396,utRho01
eco,4607594,4607810,4607594,216,0,utRho01
ecpA,621594,621594,621342,252,48,utRho01
ecpB,620238,620238,620052,186,0,utRho01
ecpR,622964,622964,622672,292,0,utRho01
eda,3866218,3866218,3865512,706,238,utRho01
edd,3869426,3869426,3869208,218,96,utRho01
efeO,2164308,2164486,2164308,178,92,utRho01
efeU_1,2162614,2162712,2162614,98,144,utRho01
efp,8751134,8751398,8751134,264,9146,utRho01
elaA,4763372,4763372,4763086,286,12,utRho01
elaD,4765308,4765426,4765308,118,34,utRho01
elfA,1995530,1995736,1995530,206,0,utRho01
elfD,1996642,1996980,1996642,338,4,utRho01
emrD,7707690,7707844,7707690,154,44,utRho01
emrK,4966896,4966896,4966678,218,0,utRho01
emrY,4964668,4964668,4964352,316,126,utRho01
emtA,2486250,2486360,2486250,110,14,utRho01
endA,12361100,12361388,12361100,288,104,utRho01
eno,5817692,5817692,5815882,1810,6160,utRho01
entC,1249662,1249770,1249662,108,16,utRho01
entD,1220508,1220508,1220158,350,292,utRho01
entH,1258584,1258600,1258584,16,64,utRho01
entS,1244506,1244600,1244506,94,36,utRho01
envR,6827266,6827266,6826930,336,0,utRho01
epd,12295292,12295292,12294764,528,48,utRho01
epmA,8765236,8765286,8765236,50,18,utRho01
epmB,8751406,8751406,8751314,92,4776,utRho01
eptB,7421162,7421162,7420950,212,92,utRho01
eptC,8300622,8300622,8300530,92,246,utRho01
erfK,4126708,4126708,4126646,62,1566,utRho01
erpA,353122,353220,353122,98,172,utRho01
esrE,8039956,8039956,8039956,0,0,utRho01
essD,1153746,1154796,1153746,1050,274,utRho01
etk,2088606,2088606,2088420,186,0,utRho01
evgA,4967262,4967510,4967262,248,0,utRho01
exbB,6304028,6304028,6303968,60,0,utRho01
exbD,6302780,6302780,6302486,294,502,utRho01
exuR,6493016,6493304,6493016,288,262,utRho01
exuT,6490004,6490208,6490004,204,0,utRho01
fabA,2032996,2032996,2032940,56,218,utRho01
fabB,4883282,4883282,4883210,72,54,utRho01
fabH,2297032,2297518,2297032,486,4348,utRho01
fabI,2702236,2702236,2702078,158,122,utRho01
fadB,8062026,8062026,8061942,84,0,utRho01
fadD,3779614,3779614,3779492,122,0,utRho01
fadE,486812,486812,486606,206,42,utRho01
fadH,6463248,6463330,6463248,82,0,utRho01
fadI,4921022,4921022,4920938,84,0,utRho01
fadL,4922410,4922600,4922410,190,6,utRho01
fadM,928720,928804,928720,84,0,utRho01
fadR,2469810,2469876,2469810,66,0,utRho01
fbaB,4357334,4357334,4357128,206,38,utRho01
fdhE,8162722,8162722,8162456,266,1244,utRho01
fdhF,8598814,8598814,8598732,82,20,utRho01
fdnG,3094744,3094802,3094744,58,4,utRho01
fdrA,1093012,1093360,1093012,348,0,utRho01
feaB,2894994,2895038,2894994,44,0,utRho01
feaR,2894734,2894734,2894566,168,14,utRho01
fecA,9033454,9033454,9033354,100,792,utRho01
fecE,9023288,9023288,9022914,374,7464,utRho01
fecI,9036564,9036564,9036470,94,16,utRho01
feoA,7080114,7080326,7080114,212,176,utRho01
fepA,1225334,1225334,1224988,346,82,utRho01
fepB,1249454,1249454,1249020,434,240,utRho01
fepD,1244468,1244468,1244378,90,86,utRho01
fes,1225374,1225630,1225374,256,460,utRho01
ffh,5495706,5495706,5495590,116,1982,utRho01
ffs,952576,952848,952576,272,60,utRho01
fhuA,334884,334968,334884,84,420,utRho01
fhuE,2323294,2323294,2323102,192,358,utRho01
fhuF,9211504,9211504,9211326,178,2738,utRho01
fic,6983296,6983296,6982926,370,512,utRho01
fieF,8212864,8212938,8212864,74,46,utRho01
fimA,9085388,9086230,9085388,842,272,utRho01
fimB,9081334,9081914,9081334,580,588,utRho01
fimE,9083742,9084074,9083742,332,16,utRho01
fimZ,1129214,1129214,1128960,254,54,utRho01
fiu,1683296,1683296,1683062,234,112,utRho01
fixA,84650,84806,84650,156,0,utRho01
fkpA,6955050,6955050,6954838,212,9644,utRho01
fldA,2846084,2846084,2845860,224,5172,utRho01
fldB,6079644,6079710,6079644,66,96,utRho01
flgA,2261770,2261770,2261726,44,40,utRho01
flgB,2261986,2262036,2261986,50,46,utRho01
flgK,2276702,2276756,2276702,54,2334,utRho01
flgM,2260330,2260330,2260256,74,686,utRho01
flgN,2259828,2259828,2259660,168,346,utRho01
flhB,3932432,3932432,3932382,50,102,utRho01
flhC,3955864,3955864,3955688,176,182,utRho01
flhD,3957154,3957154,3956394,760,928,utRho01
fliA,4003638,4003638,4003578,60,152,utRho01
fliC,4007352,4007352,4007212,140,146,utRho01
fliD,4007634,4007744,4007634,110,170,utRho01
fliE,4026186,4026186,4026028,158,32,utRho01
fliF,4026292,4026458,4026292,166,410,utRho01
fliL,4039168,4039236,4039168,68,112,utRho01
flk,4875824,4875900,4875824,76,46,utRho01
flu,4142634,4143078,4142634,444,48,utRho01
flxA,3292776,3292810,3292776,34,48,utRho01
fnr,2799104,2799104,2799052,52,158,utRho01
fnrS,2818258,2818258,2818258,0,0,utRho01
focA,1909628,1909628,1908932,696,384,utRho01
folA,99598,99646,99598,48,2,utRho01
folB,6409296,6409296,6409178,118,0,utRho01
folD,1115562,1115562,1115482,80,248,utRho01
folE,4487696,4487696,4487304,392,4002,utRho01
fpr,8228998,8228998,8228944,54,0,utRho01
frc,4986878,4986878,4986508,370,0,utRho01
frdA,8764824,8764824,8764636,188,4,utRho01
frdD,8758948,8758948,8758732,216,152,utRho01
fre,8052886,8053054,8052886,168,2440,utRho01
frlA,6999518,6999820,6999518,302,0,utRho01
frr,385624,385744,385624,120,1542,utRho01
frsA,513004,513054,513004,50,208,utRho01
fruB,4527194,4527194,4526990,204,0,utRho01
frvR,8179804,8179804,8179710,94,0,utRho01
fryA,5008986,5008986,5008970,16,64,utRho01
fsaA,1727060,1727284,1727060,224,24,utRho01
fsr,1009710,1009710,1009392,318,44,utRho01
ftnA,3977364,3977432,3977364,68,0,utRho01
ftnB,3973550,3973850,3973550,300,32,utRho01
ftsA,207122,207964,207122,842,1370,utRho01
ftsB,5745802,5745802,5745640,162,128,utRho01
ftsH,6654204,6654204,6653870,334,1420,utRho01
ftsK,1865858,1866448,1865858,590,2430,utRho01
ftsL,181376,182064,181376,688,2294,utRho01
ftsP,6325732,6325732,6325338,394,456,utRho01
ftsQ,205484,206310,205484,826,598,utRho01
ftsX,7204512,7204512,7204172,340,652,utRho01
ftsZ,209272,210610,209272,1338,204,utRho01
fucA,5867708,5867708,5867376,332,40,utRho01
fucP,5868238,5868470,5868238,232,0,utRho01
fumA,6753760,6753760,6753508,252,1136,utRho01
fumB,8694696,8694696,8694652,44,28,utRho01
fumC,3373418,3373418,3373176,242,0,utRho01
fur,2842892,2842892,2842584,308,10168,utRho01
fusA,6947370,6947370,6947028,342,26834,utRho01
fxsA,8737206,8737328,8737206,122,116,utRho01
gabD,5581824,5582546,5581824,722,452,utRho01
gadA,7335214,7335214,7335160,54,0,utRho01
gadB,3144144,3144144,3144090,54,0,utRho01
gadC,3141168,3141168,3140978,190,36,utRho01
gadE,7315600,7316732,7315600,1132,4,utRho01
gadW,7329562,7329562,7329236,326,0,utRho01
gadX,14663356,14663356,14663240,116,4,utRho01
gadY,7329728,7329728,7329728,0,0,utRho01
galE,1584354,1584354,1584110,244,14,utRho01
galF,4228702,4228702,4228654,48,154,utRho01
galM,1577796,1577796,1577674,122,450,utRho01
galP,6176510,6176568,6176510,58,0,utRho01
galR,5953138,5953198,5953138,60,86,utRho01
galS,4483420,4483420,4483336,84,0,utRho01
galU,2582810,2582914,2582810,104,366,utRho01
gapA,3724480,3725542,3724480,1062,3406,utRho01
garP,6549868,6549868,6549814,54,0,utRho01
gatY,4354468,4354468,4354408,60,0,utRho01
gatZ,4352864,4352864,4352642,222,4608,utRho01
gcd,282558,282558,282450,108,66,utRho01
gcl,1067814,1067832,1067814,18,0,utRho01
gcvA,5885278,5885278,5885134,144,2,utRho01
gcvB,5885392,5885392,5885392,0,0,utRho01
gcvR,5199758,5199812,5199758,54,98,utRho01
gcvT,6101544,6101544,6101334,210,490,utRho01
gdhA,3684616,3684742,3684616,126,28,utRho01
gfcA,2099668,2099668,2099488,180,436,utRho01
gfcD,2096236,2096236,2095890,346,52,utRho01
ghrA,2195648,2195772,2195648,124,114,utRho01
ghrB,7434378,7434620,7434378,242,268,utRho01
glcA,6242728,6242728,6242558,170,52,utRho01
glcC,6256412,6256544,6256412,132,2,utRho01
glcD,6256152,6256152,6256042,110,2,utRho01
gldA,8278092,8278092,8278070,22,22,utRho01
glgA,7136784,7136784,7136066,718,218,utRho01
glgB,7147314,7147314,7147004,310,186,utRho01
glgC,7139142,7139142,7138656,486,90,utRho01
glgP,7133546,7133546,7133162,384,224,utRho01
glgS,6384024,6384024,6383878,146,0,utRho01
glgX,7142838,7142838,7142638,200,58,utRho01
glk,5018922,5018922,5018852,70,90,utRho01
glmS,7827622,7827622,7827336,286,8128,utRho01
glmU,7830652,7830652,7830400,252,744,utRho01
glmY,10765360,10765360,10765360,0,0,utRho01
glmZ,7972864,7972864,7972864,0,0,utRho01
glnA,16232888,16232888,16232136,752,420,utRho01
glnB,5375052,5375052,5374816,236,216,utRho01
glnD,377310,377310,377300,10,92,utRho01
glnE,6399602,6399602,6399282,320,4,utRho01
glnH,1696396,1696396,1696008,388,34,utRho01
glnK,945112,945196,945112,84,0,utRho01
